Video Id,Video Title,Doc Name
--8n6A8Q6M0,$200 Luxury Beach Hotel in The Philippines 🇵🇭,doc0
-1B7cVoZr1c,Marine reacts to the Philippine Light Reaction Regiment (LRR),doc1
-7vF5F-1btE,Ultimate Filipino Food Festival In The Netherlands!,doc2
-9bfDHHneyU,SHOWING MY SISTER SB19 'GENTO' Music Video,doc3
-C5iB25BRsA,10 Reasons/Do not Retire TO the Philippines/Moving to the Philippines/Philippine/Dumaguete,doc4
-GVbt3qdq70,Christmas is NEXT LEVEL in the Philippines | Latinos react to Viral Filipino Singing TikToks,doc5
-JTkbbE_KP4,RAPSTAR REACTION! FLOW G is the FILIPINO DRAKE!,doc6
-JlBNKlG3Yw,Port Barton in the Philippines: Foreigners first impressions - Where are the tourists?!?!,doc7
-KHOXPq_M-Q,Philippines VS. Thailand - 7 BIG differences (Girlfriend Experience!),doc8
-NkPxyvAqzA,Why Americans Love Filipino Culture,doc9
-O-ZnlGZq-4,What's It Like Living In The Philippines? 🇵🇭 | Foreigner's Perspective,doc10
-P_7E7gq6vs,Foreigner cooks Filipino pork adobo for the first time,doc11
-Ts46vj5sEc,Real Life Fathers of 18 Top Filipino Actors ll You didn't know in 2023,doc12
-U5-r29G-t0,First time trying Filipino Street Food.,doc13
-WaDvcu7mcw,Philippines Balut 🇵🇭 Foreigner tries Balut #filipino #philippines,doc14
-Wgdk-C7Rb8,A Foreigner's Guide to Thriving in the Philippines 🇵🇭 #shorts #philippines,doc15
-WuFjxvGJnI,Trying Pancit Canton In The Philippines For The First Time🇵🇭 #shorts,doc16
-XCc67Ijcz8,"BAGYO KA LANG PINOY KAMI, PINOYS aren't scared of ANYTHING especially not TYPHOONS | HONEST REACTION",doc17
-Ya6eSQ3wng,"Foreigners Guess FILIPINA CELEBRITIES, FULL OR HALF FILIPINO? FUNNY REACTION",doc18
-_E2KyNAvqg,Just How!? Waleska & Efra react to Philippines' Longest Single Breath Sustained Notes While Singing,doc19
-cOD9GglwzU,"FILIPINO POLICE Take FOREIGNERS Travelling In Zamboanga, Mindanao!",doc20
-fWzHd63UCA,Americans React to Philippines Eagle vs. Bald Eagle,doc21
